Date,AAL,AAPL,ACST,ADXS,AESE,AGNC,AIKI,AMD,APA,APHA,ASRT,ATOS,AZN,BIDU,BILI,BIOL,BLDP,BNGO,CAN,CDEV,CIDM,CLOV,CLPS,CMCSA,CSCO,CTRM,CTXR,DKNG,EARS,EBON,EVFM,EYES,FB,FCEL,FPRX,FUTU,GEVO,GNUS,IDEX,INO,INTC,IQ,ITRM,JAGX,JBLU,JD,KOPN,LI,LKCO,LYFT,MARA,MDLZ,METX,MICT,MIK,MRNA,MRVL,MSFT,MU,MVIS,NAKD,NKLA,NNDM,NVDA,OCGN,OGI,ONTX,OPEN,PACB,PLUG,PTON,PYPL,QCOM,QTT,RIOT,SABR,SDC,SHIP,SIFY,SIRI,SLGG,SNDL,SOLO,SRNE,TELL,TIGR,TLRY,TNXP,TRCH,TSLA,TTOO,TXMD,UAL,VIAC,VISL,VTRS,VUZI,WKHS,XTLB,ZNGA
2021-04-26,44349200,66905100,15524400,12573500,714300,7961300,4621900,57594500,8056800,6261300,5698000,5263100,6451500,5844700,3294900,3730500,4826700,56762400,8583300,4411200,86135600,12273100,97600,12802300,13778200,149487400,5638100,8011200,642700,10929800,2108500,1353200,16172600,33130000,,5502500,14571600,15295000,14037000,17331000,39645900,17816800,7373300,18067400,7296900,12238600,3498100,5888500,13829300,4745000,20890200,7693900,6331100,11589400,,12201700,9994900,19763300,14757700,213591300,221704100,21367700,21040600,4944900,270360000,5781800,8092700,15241600,2233700,45522200,8022700,5327800,9715400,1669100,19234300,3735000,4460100,6816800,265800,14158700,653600,244905700,5059600,12289700,10988600,8767900,9902900,11374400,8487900,31038500,2424400,5929500,12358800,30501300,4041100,5775400,6367400,8810400,4400,16151900
2021-04-27,26704500,65752700,11331800,8357600,1488700,8734000,8441800,61478600,6820000,6975600,4421800,7706400,8341800,4815300,4436000,2728400,3608000,39292200,5483100,5586000,72144600,8476800,143100,12419600,13600300,150014600,6503800,13300100,430000,9966600,5741100,1094700,15260700,23201200,,3407500,12294100,11111600,10791100,9623700,38119800,9220100,5518600,7683100,10769400,11829000,3450500,6810500,11138700,9825700,12805000,7653000,1854000,3565200,,12904100,9978300,30574500,17671900,157563300,184548700,13994300,58906800,4109000,112807100,5694200,5371300,11641300,3312800,27395400,5678800,4292400,9278600,1412600,13669500,9175000,3132700,8708300,177500,26556300,746400,253369900,4696600,16957800,9933400,4832000,13774400,7956100,6091800,29305800,3599900,7177900,10319500,33640700,9366000,17483400,7007400,6515900,14300,17676200
